chart,chartURL,rank,song,artist,lyrics
Dance/Electronic,https://www.billboard.com/charts/year-end//2017/hot-dance-electronic--songs,68,OK,Robin Schulz Featuring James Blunt,"[Verse 1]
I really need you
I really need your love right now
I'm fading fast
Not gonna last
I'm really stupid
I'm burning up, I'm going down
I'm in it bad
Don't even ask

[Pre-Chorus]
When I found myself in the middle, in the middle, in the middle
Could you love me more, just a little, just a little
Overcomplicate when it's simple, when it's simple, when it's simple
Would you love me more, just a little

[Chorus]
So tell me now
When every star falls from the sky
And every last heart in the world breaks
Oh hold me now
When every ship is going down
I don't fear nothing when I hear you say

[Post-Chorus]
It's gonna be okay
It's gonna be okay
It's gonna be okay
It's gonna be okay

[Verse 2]
I'm really sorry
Sorry I dragged you into this
I overthink, that's all it is
The way you love me
The way you love me 'til the end
The way you love me
Oh yeah, it makes me king again

[Pre-Chorus]
When I found myself in the middle, in the middle, in the middle
Could you love me more, just a little, just a little
Overcomplicate when it's simple, when it's simple, when it's simple
Would you love me more, just a little

[Chorus]
So tell me now
When every star falls from the sky
And every last heart in the world breaks
Oh hold me now
When every ship is going down
I don't fear nothing when I hear you say

[Post-Chorus]
It's gonna be okay
It's gonna be okay
It's gonna be okay
It's gonna be okay

[Bridge]
It's gonna be okay
It's gonna be okay
It's gonna be okay
It's gonna be okay

[Post-Chorus]
It's gonna be okay
It's gonna be okay
It's gonna be okay
It's gonna be okay
It's gonna be okay

[Outro]
When every star falls from the sky
And every last heart in the world breaks
It's gonna be okay
When every ship is going down
I don't fear nothing when I hear you say
It's gonna be okay"
Dance/Electronic,https://www.billboard.com/charts/year-end//2017/hot-dance-electronic--songs,69,Hear Me Now,"Alok, Bruno Martini, Zeeba",
Dance/Electronic,https://www.billboard.com/charts/year-end//2017/hot-dance-electronic--songs,70,Taped Up Heart,KREAM Featuring Clara Mae,"[Verse 1: Clara Hagman]
There is no place I can hide
Cause wherever I go it's you I find
I got a can of bright blue pills
Supposed to get rid of them heavy feels, yeah

[Verse 2: Clara Hagman]
I bet that she's beautiful and there is no doubt
She's all that you wanted, the queen of the crowd
I bet your friends love her, cause she's always so fun, yeah
And the worst thing of all is I used to be that one

[Chorus: Clara Hagman]
Now it's only just me and my sheets
Got your hands on me on repeat
All I wanna do is go to sleep
With my taped up heart and my open bottle
Me and my sheets
You should know that we're done with your shit
All I wanna do is go to sleep
With my taped up heart and my open bottle

[Bassline: Kream]
Hold up

[Chorus: Clara Hagman]
Now it's only just me and my sheets
Got your hands on me on repeat
All I wanna do is go to sleep
With my taped up heart and my open bottle
Me and my sheets
You should know that we're done with your shit
All I wanna do is go to sleep
With my taped up heart and my open bottle

[Bridge]
When I fall, I fall deeper, yeah, I'm still falling
Can't get rid of the feeling, the feeling haunt me
So I fall, I fall deeper, deeper, deeper
So I fall, I fall deeper, deeper, deeper

[Chorus: Clara Hagman]
Now it's only just me and my sheets
Got your hands on me on repeat
All I wanna do is go to sleep
With my taped up heart and my open bottle
Me and my sheets
You should know that we're done with your shit
All I wanna do is go to sleep
With my taped up heart and my open bottle

[Bassline: Kream]
Hold up

[Chorus: Clara Hagman]
Now it's only just me and my sheets
Got your hands on me on repeat
All I wanna do is go to sleep
With my taped up heart and my open bottle
Me and my sheets
You should know that we're done with your shit
All I wanna do is go to sleep
With my taped up heart and my open bottle

[Bassline: Kream]"
Dance/Electronic,https://www.billboard.com/charts/year-end//2017/hot-dance-electronic--songs,71,My Type,The Chainsmokers Featuring Emily Warren,"[Verse 1]
You don't gotta say it, I know you ain't stayin' over
And I won't even mention the fact that you're never sober
I never know which side I'm gonna get tonight
And the closer we get, the less I think I know you

[Chorus]
But you're just my type
The kind that only calls me late at night
You can't decide if you'll be yours or mine
I hate to say it, but you're just my type
Yeah, you're just my type, yeah, yeah

[Hook/Drop]
Just my type
Yeah, you're just my type, yeah, yeah
Just my type
Yeah, you're just my type, yeah, yeah

[Verse 2]
And I'm foolin' myself, 'cause I know that I'll never change ya
But you told me the truth, so I guess I can't really blame ya
No, you're not the one, but you're all I want, yeah
People say I'll get hurt, I don't know what they're so afraid of

[Chorus]
But you're just my type
The kind that only calls me late at night
You can't decide if you'll be yours or mine
I hate to say it, but you're just my type
Yeah, you're just my type, yeah, yeah

[Hook/Drop]
Just my type
Yeah, you're just my type, yeah, yeah
Just my type
Yeah, you're just my type, yeah, yeah

[Chorus]
But you're just my type
The kind that only calls me late at night
You can't decide if you'll be yours or mine
I hate to say it, but you're just my type
Yeah, you're just my type, yeah, yeah

[Hook/Drop]
Just my type (oh, I hate to say it, but you're)
Yeah, you're just my type, yeah, yeah
Just my type
Yeah, you're just my type, yeah, yeah

My type
Oh, I hate to say it, but you're
My type
Oh, I hate to say it, but you're"
Dance/Electronic,https://www.billboard.com/charts/year-end//2017/hot-dance-electronic--songs,72,Falling,Alesso,"[Verse]
Right here, right now, it's all we need
Relax your mind and set it free
Be all you got, be all I see
The way you move, the way you feel

[Pre-Break]
Look at me I'm falling, falling
Feeling like I'm love blind, taking over my mind
Look at me I'm falling, falling
Feeling like I'm love blind, taking over my mind

[Break]
Look at me I'm falling, falling
Feeling like I'm love blind, taking over my mind
Look at me I'm falling, falling
Feeling like I'm love blind, taking over my mind
Look at me I'm falling, falling
Feeling like I'm love blind, taking over my mind
Look at me I'm falling, falling
Feeling like I'm love blind, taking over my mind
Look at me I'm

[Verse]
Right here, right now it's all we need
Relax your mind and set it free
Be all you got, be all I see
The way you move, the way you feel

[Pre-Break]
Look at me I'm falling, falling
Feeling like I'm love blind, taking over my mind
Look at me I'm falling, falling
Feeling like I'm love blind, taking over my mind

Look at me I'm falling, falling
Feeling like I'm love blind, taking over my mind
Look at me I'm falling, falling
Feeling like I'm love blind, taking over my mind

[Break]
Look at me I'm falling, falling, eh-eh
Falling, falling, eh-eh

[Pre-Break]
Look at me I'm falling, falling
Feeling like I'm love blind, taking over my mind
Look at me I'm falling, falling
Feeling like I'm love blind, taking over my mind

Look at me I'm falling, falling
Feeling like I'm love blind, taking over my mind
Look at me I'm falling, falling
Feeling like I'm love blind, taking over my mind

[Break]
Look at me I'm falling, falling, eh-eh
Falling, falling, eh-eh
Look at me I'm falling, falling, eh-eh
Look at me I'm falling, falling, eh-eh"
Dance/Electronic,https://www.billboard.com/charts/year-end//2017/hot-dance-electronic--songs,73,Love$ick,Mura Masa Featuring A$AP Rocky,"[Intro: A$AP Rocky]
Please man, pretty please
With a cherry on top, can you please—?

[Verse 1: A$AP Rocky]
The weather cold, the weather so
Chill Chilly Willy penguin feather roll
Cause I'm sipping Pro, yeah, that meth is pro
Promethazine, yeah, a stepping stone
Oh, they acting up? Get your weapon drawn
They only killing time, another second gone
I heard your man ain't home, now you melatone
But you acting young and you hella grown

[Pre-Hook: A$AP Rocky]
I need you
I'mma wait for my lil momma come home
I want you
Man, I swear to God, she gon' miss me when I’m gone
I need you
I’m a lovesick fuck and it’s right but you wrong

[Hook]
I need you, I want you
Come over here
I need you, I want you
I need you, I want you
Come over here
I need you, I want you

[Verse 2: A$AP Rocky]
Okay, she giving me love, but it fuck my energy up
Every time it's finna be summer, only got the memories of us
And now we industry lovers, they making enemies of us
I mean, sometimes we in public, they drain this energy from us
Visit Italia, be my señorita
I-vee-tha or Eye-be-tha either way you need a visa
I ain't talking 'bout MasterCards, debit cards either
Credit charge, Kermit the Frog, margaritas
Yeah, I heard she got a man, homie
Yeah, he wanna lay the hands on me
But he should see the way she dance on me
Yeah, wishing I ain't had no pants on me

[Pre-Hook: A$AP Rocky]
I need you
I'm a lovesick fuck
I want you
I'm a lovesick fuck

[Hook]
I need you, I want you
Come over here
I need you, I want you
I need you, I want you
Come over here
I need you, I want you

[Outro]
I need you
I'm a lovesick fuck
I need you
I'm a lovesick fuck
I need you
I'm a lovesick fuck
I need you
I'm a lovesick fuck
I'm a lovesick fuck
I'm a lovesick fuck"
Dance/Electronic,https://www.billboard.com/charts/year-end//2017/hot-dance-electronic--songs,74,All My Love,Cash Cash Featuring Conor Maynard,"[Verse 1]
Friday night, my phone is off
And none of my friends even know you're gone
All these broken picture frames
I'm sick of your face, but can't look away

[Pre-Chorus]
Can't go out, can't stay home
I don't know how, how to be alone
I keep waiting for you, waiting for you to come back
With all of my love

[Chorus]
How can I sleep when you're out there
With all my love?
I can't believe that you left here with all my love
Bring it back, bring it back, back, back oh woah
All my love
Bring it back, bring it back, back, back oh woah
All my love

[Post-Chorus]
All my love
All my love

[Verse 2]
Friday night locked in these sheets
I toss and I turn, where you used to be

[Pre-Chorus]
Can't go out, can't stay home
I don't know how, how to be alone
I keep waiting for you, waiting for you to come back
With all of my love

[Chorus]
How can I sleep when you're out there
With all my love?
I can't believe that you left here with all my love
Bring it back, bring it back, back, back oh woah
All my love (all my love)
Bring it back, bring it back, back, back oh woah
All my love

[Post-Chorus]
I gotta get back, get back yeah, all my love
All my love
I gotta get back, get back yeah, all my love"
Dance/Electronic,https://www.billboard.com/charts/year-end//2017/hot-dance-electronic--songs,75,Tired,Alan Walker Featuring Gavin James,"[Intro]
I see those tears in your eyes
I feel so helpless inside
Oh love, there's no need to hide
Just let me love you when your heart is tired

[Verse 1]
Cold hands, red eyes
Packed two bags at midnight
They've been there for weeks
You don't know what goodbye means

[Pre-Chorus]
Just roll up a cigarette
Just forget about this mess
Been waiting on the sidelines
From the sidelines

[Chorus]
I see those tears in your eyes
And I feel so helpless inside
Oh love, there's no need to hide
Just let me love you when your heart is tired
If your ghost pulls you apart
And it feels like you've lost who you are
My love, there's no need to hide
Just let me love you when your heart is tired
Just let me love you
Just let me love you
Just let me love you
Just let me love you
Just let me love you when your heart is tired

[Verse 2]
When you whisper, I'm alright
But I see through your white lies
But these walls don’t talk
And if they could, they’d say

[Pre-Chorus]
Can't hide the secrets
You can't forget about this mess
I'm waiting on the sidelines
From the sidelines

[Chorus]
I see those tears in your eyes
And I feel so helpless inside
Oh love, there's no need to hide
Just let me love you when your heart is tired
If your ghost pulls you apart
And it feels like you've lost who you are
My love, there's no need to hide
Just let me love you when your heart is tired
Just let me love you
Just let me love you
Just let me love you
Just let me love you
Just let me love you when your heart is tired
I see those tears in your eyes
And I feel so helpless inside
My love, there's no need to hide
Just let me love you when your heart is tired"
Dance/Electronic,https://www.billboard.com/charts/year-end//2017/hot-dance-electronic--songs,76,Sexual,NEIKED Featuring Dyo,"[Verse 1]
You got that thing that I been looking for
Been running around for so long
Now I caught you, I won't let you go
You got that thing that I been looking for
And you got a heart full of gold
And that's really turning me on

[Pre-Chorus]
You are, you are, you are, you are, you are
Everything that I dreamed of, now we can paint our picture
You are, you are, you are, you are, you are
Making my life much greener, yeah yeah

[Chorus]
Just say you feel the way that I feel
I'm feeling sexual, so we should be sexual
Just say you feel the way that I feel
I'm feeling sexual, so we should be sexual

[Verse 2]
You got something that I ain't seen before
You've opened a million doors
All I can say is I adore you
You got something that I ain't seen before
Hold me 'cause baby, I'm yours
Oh, I can't wait until we get home

[Pre-Chorus]
You are, you are, you are, you are, you are
Everything that I dreamed of, now we can paint a picture
You are, you are, you are, you are, you are
Making my life much greener
So I wanna say, yeah

[Chorus]
Just say you feel the way that I feel
I'm feeling sexual, so we should be sexual
Just say you feel the way that I feel
I'm feeling sexual, so we should be sexual

[Bridge]
I don't know what you done but I can't get enough
'Cause you give me that rush, I don't want it to stop

[Chorus]
Just say you feel the way that I feel
I'm feeling sexual, so we should be sexual
Just say you feel the way that I feel
I'm feeling sexual, so we should be sexual"
Dance/Electronic,https://www.billboard.com/charts/year-end//2017/hot-dance-electronic--songs,77,Nova,Ahrix,[Instrumental]
Dance/Electronic,https://www.billboard.com/charts/year-end//2017/hot-dance-electronic--songs,78,Line Of Sight,ODESZA Featuring WYNNE & Mansionair,"[Verse 1]
I'm facing back to front
Over my shoulder at the sun
And it's an open door
End of my line of sight once more

[Chorus]
And I don't learn, no I don't learn
It'll all be fine this time
And I don't learn, no I don't learn
Cos you always seemed so kind
And I don't learn, no I don't learn
It'll all be fine this time
And I don't learn, no I don't learn

[Verse 2]
I'm feeling in and out
I turn full circle round and round
So will you help me down
Come grab my hand for solid ground

[Chorus]
And I don't learn, no I don't learn
It'll all be fine this time
And I don't learn, no I don't learn
Cos you always seemed so kind
And I don't learn, no I don't learn
It'll all be fine this time
And I don't learn, no I don't learn

[Outro]
Help me out, don’t let me down
I could learn from you
I could learn from you"
Dance/Electronic,https://www.billboard.com/charts/year-end//2017/hot-dance-electronic--songs,79,High And Low,Empire Of The Sun,"[Verse 1]
Now we are running in a pack to the place you don't know
And I want you to know that I'll always be around
Down where the summer and the late nights last forever
There's a house on the hill and we can't travel now

[Pre-Chorus]
Alice D you’re on your way up
Way up
Way up

[Chorus]
I feel both sides, babe, high and low (high and low)
If I had my way, never let you go (never let you go)
I feel both sides, babe,  high and low (high and low)
If I had my way, never let you go (never let you go)

[Verse 2]
Let's get together and forget all the troubles and just float
I don't want you to go
I need to be closer to now

[Pre-Chorus]
Alice D you’re on your way up
Way up
Way up

[Chorus]
I feel both sides, babe,  high and low (high and low)
If I had my way, never let you go (never let you go)
I feel both sides, babe, high and low (high and low)
If I had my way, never let you go (never let you go)

[Bridge]
Alice D is on her way home
She's been out all night again
She don't want nobody's help now
She sees stars and rocket ships

[Chorus - fade out]
I feel both sides, babe, high and low (high and low)
If I had my way, never let you go (never let you go)
I feel both sides, babe, high and low (high and low)
If I had my way, never let you go (never let you go)
I feel both sides, babe, high and low (high and low)
If I had my way, never let you go (never let you go)
I feel both sides, babe, high and low (high and low)
If I had my way, never let you go (never let you go)"
Dance/Electronic,https://www.billboard.com/charts/year-end//2017/hot-dance-electronic--songs,80,Dynamite,Nause Featuring Pretty Sister,"I got myself together
And no, you ain't no friend of mine
There’ll be no more tears for you now
You see, I’m moving on fast
Finally got the pass
Gonna leave this pain behind
You cut deep, babe, but you don't see
You don't care, you don't bleed
You blow my mind like dynamite
You go boom, boom, boom

You cut deep, and now I know
Sweet, sweet words were all for show
The fuse is set, the dynamite
It goes boom boom
Boom, Boom, Boom (8x)

There will be no more retribution, no
So you better no waste your time
I don't miss your arms around me
You know I put my hands in the fire
When it burns me once
I don't need it for a second time

You cut deep, but you don't see
You don't care, you don't bleed
You blow my mind like dynamite
You go boom, boom, boom

You cut deep, and now I know
Sweet sweet words were all for show
The fuse is set, the dynamite
It goes boom, boom
Boom, Boom, Boom (8x)

I wish we ironed out the creases
Way before we ran out of steam
And I don't want to sound defeated
But if you still don't get it
You'll never gonna get it
How could you be a friend of mine?

You cut deep, but you don't see
You don't care, and you don't bleed
You blow my mind like dynamite
You go boom, boom, boom

You cut deep, and now I know
Sweet sweet words were all for show
The fuse is set, the dynamite
It goes boom, boom
Boom, Boom, Boom(8x)

You cut deep, but you don't see
You don't care, and you don't bleed
You blow my mind like dynamite
You go boom, boom, boom

You cut deep, and now I know
Sweet sweet words were all for show
The fuse is set, the dynamite
It goes boom, boom"
Dance/Electronic,https://www.billboard.com/charts/year-end//2017/hot-dance-electronic--songs,81,This Girl,Kungs vs Cookin' On 3 Burners,
Dance/Electronic,https://www.billboard.com/charts/year-end//2017/hot-dance-electronic--songs,82,Find Me,Marshmello,"[Instrumental]

[Drop]
This feels good right here

[Instrumental]

[Drop]
This feels good right here

[Instrumental]"
Dance/Electronic,https://www.billboard.com/charts/year-end//2017/hot-dance-electronic--songs,83,I Miss You,Grey Featuring Bahari,"[Verse 1]
I used to know you better, better than anyone
Now I don't know you at all
You used to keep my secrets, shallow has turned to deepness
Now I got someone else to call

[Pre-Chorus]
Just 'cause I don't make a thing about it
Don't mean that I never think about it, 'cause I do
Just 'cause I learned how to live without you
Don't mean that I ever really wanted to, oh

[Chorus]
I miss you, yeah, yeah
After all that we've been through
I never told you that I do
But I miss you, ooh
Even after all this time
I got your body on my mind

[Verse 2]
This might seem out of nowhere, I get it if you don't care
Guess I just don't know what to say
Don't know if you remember that night in late September
For me, it feels like yesterday

[Pre-Chorus]
Just 'cause I don't make a thing about it
Don't mean that I never think about it 'cause I do
Just 'cause I learned how to live without you
Don't mean that I ever really wanted to, oh

[Chorus]
I miss you, yeah, yeah
After all that we've been through
I never told you that I do
But I miss you, ooh
Even after all this time
I got your body on my mind

[Post-Chorus]
I miss you
Even after all this time, I got your body on my mind
I miss you
Even after all this time, I got your body on my mind

[Outro]
Even when I'm not trying to, I keep doing the things we do
Are you missing me too? Are you missing me too?
Like I miss you? Yeah, yeah
I miss you"
Dance/Electronic,https://www.billboard.com/charts/year-end//2017/hot-dance-electronic--songs,84,Bloodstream,The Chainsmokers,"[Verse 1]
I've been drunk three times this week
Spent all my money on a fleeting moment
I thought I-I-I-I-I-I can shake this off
Now I-I-I-I-I-I can't make this stop
Yeah, things were sweet three months ago
When I was living how I wanna on my own
And I thought I-I-I-I-I-I don't need that much
I guess I-I-I-I-I-I was out of touch

[Chorus]
I'm fucked up, I'm faded
I'm so complicated
Those things that I said
They were so overrated
But I-I-I-I-I-I, yeah, I meant it
Oh yeah, I-I-I-I-I-I, really fucking meant it

Yeah, I meant it

[Verse 2]
I gave up three times this week
Went through those feelings
Like I wasn't worth nothing
I thought I-I-I-I-I-I can shake this off
No, I-I-I-I-I-I can't be this soft

[Chorus]
I'm fucked up, I'm faded
I'm so complicated
Those things that I said
They were so overrated
But I-I-I-I-I-I, yeah, I meant it
Oh yeah, I-I-I-I-I-I, really fucking meant it

Yeah, I meant it

[Middle 8]
I'm fucked up, I'm faded
I'm so complicated
Those things that I said
They were so overrated
But I-I-I-I-I, yeah, I meant it
Oh yeah, I-I-I-I-I, really fucking meant it

[Chorus]
Yeah, I meant it
Yeah, I meant it
Yeah, I meant it
Yeah, I meant it
Yeah, I, I, I, really fucking meant it"
Dance/Electronic,https://www.billboard.com/charts/year-end//2017/hot-dance-electronic--songs,85,Feels Great,Cheat Codes Featuring Fetty Wap & CVBZ,"[Verse 1: CVBZ]
Growin' up in the golden age
Throwin' rocks at your window pane
""Kiss me once and I'll float away""
But that ain't me anymore
Well I don't mind if I sell my soul
To get a song on the radio
""Credit cards and my student loans""
That's so millennial

[Chorus: Fetty Wap & CVBZ]
Do you remember how it feels to be young?
Do you remember?
We could be anyone
Now I miss the view from the floor of your room
September came way too soon
Do you remember how it feels to be young?

[Break: Fetty Wap]
It feels great, mothafucka, yeah
It feels great, mothafucka, yeah
It feels great, mothafucka, yeah

[Verse 2: Fetty Wap]
Remember cuttin' class, we would smoke and chill
It was only gym and lunch, we thought it was real
I was even failin' math, I ain't even care
Yeah just to be around you made it worth it
I dropped out, but you still said I'm perfect
I remember at the prom you was perfect
I remember you were walking on graduation day
I never got the chance to say

[Chorus: CVBZ & Fetty Wap]
That I remember all the time that we spent
And I remember you were really my friend
And I remember you were really my friend
And I remember when they all looked and laughed
Now it's crazy how they all on your ass
It feels great, mothafucka, yeah, baby

[Post-Chorus]
Yeah, baby, it feels great, mothafucka, yeah
Yeah, baby, it feels great, mothafucka, yeah

[Break: Fetty Wap]
Yeah, it feels great, mothafucka, yeah
Yeah, it feels great, mothafucka, yeah, baby
Yeah, yeah, yeah

[Chorus: Fetty Wap & CVBZ]
Do you remember how it feels to be young?
Do you remember we could be anyone?
Now I miss the view from the floor of your room
September came way too soon
Do you remember how it feels to be young?

[Break: Fetty Wap]
It feels great, mothafucka, yeah (yeah)
It feels great, mothafucka, yeah (yeah)
It feels great, mothafucka, yeah, baby
Yeah, yeah, yeah
It feels great, mothafucka, yeah"
Dance/Electronic,https://www.billboard.com/charts/year-end//2017/hot-dance-electronic--songs,86,Came Here For Love,Sigala & Ella Eyre,"[Verse 1]
I'm no longer brokenhearted
So glad I came here tonight
And I see you got what I wanted
Baby, you got what I like

[Pre-Chorus]
I can see that you watching me
Come over, talk to me
Need you to give me a sign
You got that something sweet
That don't come easily
It's what I need tonight

[Chorus]
I came here for love
For someone to hold me down
I won't give it up, no
I want you to reach out

[Post-Chorus]
I came here for love
I came here for love
I came here for love
I want you to reach out

[Verse 2]
I'm so ready to get on it
You follow me, you'll be fine
And I'm in too deep
Have I fallen, without anyone inside

[Pre-Chorus]
I can see that you watching me
Come over, talk to me
Need you to give me a sign
You got that something sweet
That don't come easily
It's what I need tonight

[Chorus]
I came here for love
For someone to hold me down
I won't give it up, no
I want you to reach out

[Post-Chorus]
I came here for love
I came here for love
I want you to reach out

[Bridge]
This is what we came here for
We came here for love
I won't give, I won't give it up
This is what we came here for
We came here for love
I know this, I know it's enough
This is what we came here for
We came here for love
I won't give, I won't give it up
This is what we came here for
We came here for love
I want you to reach out

[Chorus]
I came here for love
For someone to hold me down
I won't give it up, no
I want you to reach out

[Post-Chorus]
I came here for love
I came here for love
I want you to reach out"
Dance/Electronic,https://www.billboard.com/charts/year-end//2017/hot-dance-electronic--songs,87,It Won't Kill Ya,The Chainsmokers Featuring Louane,"[Verse 1]
I know as the night goes on
You might end up with someone
So why do I bite my tongue?
Oh, I wanna know ya
I'm lookin' around the room
Is one of those strangers you?
And do you notice me too?
Oh, I wanna know ya

[Pre-Chorus]
(I want ya) You're a face I won't forget
(I want ya) Don't know how much time is left
(I want ya) Haven't had a moment yet
Ooh

[Chorus]
Oh, dance with me, it won't kill ya
And one for the road
Dance with me, it won't kill ya
And one before you go
Dance with me, it won't kill ya
And one for the road
So why won't you stay a little longer?

[Hook]
Dance with me
Dance with me
(Mon amour)

[Verse 2]
You're putting your jacket on
Oh no, is the moment gone?
Don't wanna regret this one
Ooh, I wanna know ya

[Pre-Chorus]
(I want ya) You're a face I won't forget
(I want ya) Don't know how much time is left
(I want ya) Haven't had a moment yet
Ooh

[Chorus]
Oh, dance with me, it won't kill ya
And one for the road
Dance with me, it won't kill ya
And one before you go
Dance with me, it won't kill ya
And one for the road
So why won't you stay a little longer?

[Hook]
Dance with me
(Mon amour)
Dance with me
(Mon amour)

[Bridge]
I know as the night goes on
You might end up with someone
So why do I bite my tongue?
Ooh, I wanna know ya

[Chorus]
Oh, dance with me, it won't kill ya
And one for the road
Dance with me, it won't kill ya
And one before you go
Dance with me, it won't kill ya
And one for the road
So why won't you stay a little longer?

[Hook]
So why don't you stay a little longer?
So why don't you stay a little longer?
Woah, woah, yeah
So why don't you stay a little longer?

[Outro]
So why don't you stay a little longer?
(So why don't you stay a little longer?)"
Dance/Electronic,https://www.billboard.com/charts/year-end//2017/hot-dance-electronic--songs,88,Prayers Up,Calvin Harris Featuring Travis Scott & A-Trak,"[Verse 1: Travis Scott]
Take a molly like communion (pop one)
My lil' girl like, ""What you doin'?"" (flash one)
I'm just tryna even out my odds (ride)
Sip and sip 'til I feel like a God (God)
You're my cup overflowin' (you know it, you know it)
Fucked up and you know it (you know it, you know it)
I swear I feel like I'm floatin' (let's ride)
Feel like everybody knows it (ride)

[Pre-Chorus: Travis Scott]
Yeah, I'm up, yeah, I'm up, yah (yah)
Everybody must know it (ooh)
Yeah, I'm up, yeah, I'm up, yah (yah, yah)
Tell the world, yeah, I'm floatin' (it's lit)
They ain't think I'd ever go and flex like this
Never had plans on gettin' less than this
My God, I know what a blessing is
Thank God, I know what a blessing is

[Chorus: Travis Scott]
Prayers up
Whole squad sending prayers up
Purple drank in my prayer cup
Whole squad sending prayers up
Purple drank in my prayer cup
Whole squad sending prayers up
My God, I know what a blessing is
Thank God, I know what a blessing is (yah)

[Verse 2: Travis Scott]
Smokin' loud, like to pour lean (pour lean)
Luxury wheels that you know we in (know we in)
Mama said she wants me in the church (praise God)
Before the day they put me in a hearse (thank God)
But I just feel like God when the liquor hit (straight up)
If only God can judge me, then I'm innocent (straight up)
'Cause every time I'm adding up my dividends (yah)
At the same time I add my blessings up (yeah)

[Pre-Chorus: Travis Scott]
Yeah, I'm up, yeah, I'm up, yah (straight up)
Everybody must know it (straight up)
Yeah, I'm up, yeah, I'm up, yah (yah)
Tell the world, yeah, I'm floatin' (ooh)
They ain't think I'd ever go and flex like this (ooh)
Never had plans on gettin' less to this
My God, I know what a blessing is (ooh)
Thank God, I know what a blessing is (ooh)

[Chorus: Travis Scott]
Prayers up
Whole squad sending prayers up (prayers up)
Purple drank in my prayer cup (prayer cup)
Whole squad sending prayers up
Purple drank in my prayer cup (ooh, ah)
Whole squad sending prayers up (yah-e-yah)
My God, I know what a blessing is (yeah)
Thank God, I know what a blessing is (yah)

[Outro: Travis Scott]
Straight up, up, alright
Straight up, yah
It's lit, busy, busy, busy, busy
Alright, ooh
Straight up, yah, yah
Yeah, I'm up, yah"
Dance/Electronic,https://www.billboard.com/charts/year-end//2017/hot-dance-electronic--songs,89,Love On Me,Galantis & Hook N Sling,"[Verse]
Girl put your love on me
'Cause I won't let you down
I won't let you down
And we will be singing
Girl put your love on me
I feel it all around
I feel it all around
And we will be singing

[Chorus]
And we will be singing
Ooh ooh, ooh ooh, ooh ooh
And we will be singing

[Verse]
Girl put your love on me
'Cause I won't let you down
I won't let you down
And we will be singing
Girl put your love on me
I feel it all around
I feel it all around
And we will be singing

[Break]
Singing, singing, singing, singing, singing, singing, singing, singing, singing...
And we will be singing
Ooh ooh, ooh ooh, ooh ooh
And we will be singing

[Verse]
Girl put your love on me
'Cause I won't let you down
I won't let you down
And we will be singing
Girl put your love on me
I feel it all around
I feel it all around
And we will be singing

[Break]
Singing, singing, singing, singing, singing, singing, singing, singing, singing...
And we will be singing

[Post-Chorus]
I feel it, I feel it all around, I feel it, I feel it
And we will be singing
I feel it, I feel it all around, I feel it, I feel it
And we will be singing

[Bridge]
Girl put your love on me
'Cause I won't let you down
I won't let you down
And we will be singing
Girl put your love on me
I feel it all around
I feel it all around
And we will be singing
Girl put your love on me
'Cause I won't let you down
I won't let you down
And we will be singing
Girl put your love on me
I feel it all around
I feel it all around
And we will be singing

[Break]
Singing, singing, singing, singing, singing, singing, singing, singing, singing...
And we will be singing
And we will be singing

[Verse]
Girl put your love on me
'Cause I won't let you down
I won't let you down
And we will be singing
Girl put your love on me
I feel it all around
I feel it all around
And we will be singing

[Break]
Singing, singing, singing, singing, singing, singing, singing, singing, singing...
And we will be singing

[Post-Chorus]
I feel it, I feel it all around, I feel it, I feel it
And we will be singing
I feel it, I feel it all around, I feel it, I feel it
And we will be singing

[Outro]
Girl put your love on me
'Cause I won't let you down
I won't let you down
And we will be singing
Girl put your love on me
I feel it all around
I feel it all around
And we will be singing"
Dance/Electronic,https://www.billboard.com/charts/year-end//2017/hot-dance-electronic--songs,90,Hunter,Galantis,"[Chorus]
I am the hunter, I am the great unknown
Only my love can conquer
I am the, I am the hunter (I am the hunter)
I am the hunter, into the wild, we go
Give up your heart, surrender
'Cause I am the, I am the hunter (I am the—hey!)

[Verse 1]
We've been on this road
To a place that, one day, we'll know
Adventure to the other side (I am the, I am the)
Searching high and low for the treasure deep in your soul
The fortune teller's always right

[Pre-Chorus]
Got them red eyes in the night
Like a panther, outta sight
Gonna sing my battle cry
'Cause I am the, I am the, I am the

[Chorus]
I am the hunter, I am the great unknown
Only my love can conquer
I am the, I am the hunter (I am the hunter)
I am the hunter, into the wild, we go
Give up your heart, surrender
'Cause I am the, I am the hunter (I am the—hey!)

[Post-Chorus]
I am the
I am the, I am the
I am the
I am the, I am the, I am the, I am the

[Verse 2]
Strangers wild and free
Through the flames, you're all that I see
A force you, that you can't deny (I am the, I am the)
Hear my calling
Lock and load, come running to me
Dancing through the midnight (I am the, I am the)

[Pre-Chorus]
Got them red eyes in the night
Like a panther, outta sight
Gonna sing my battle cry
'Cause I am the, I am the, I am the

[Chorus]
I am the hunter, I am the great unknown
Only my love can conquer
I am the, I am the hunter (I am the hunter)
I am the hunter, into the wild, we go
Give up your heart, surrender
'Cause I am the, I am the hunter (I am the—hey!)

[Post-Chorus]
I am the
I am the, I am the
I am the

[Outro]
I am the, I am the, I am the
I am the, I am the, I am the hunt-
I am the, I am the, I am the
I am-I am, I am-I am, I am-I am
Hunter"
